Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M12;89,631
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M11;89,084
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M10;88,603
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M09;87,801
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M08;87,740
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M07;87,519
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M06;87,913
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M05;87,756
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M04;87,562
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M03;86,639
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M02;86,001
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2010M01;86,158
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M12;87,031
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M11;87,053
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M10;86,584
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M09;85,971
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M08;86,174
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M07;85,874
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M06;86,614
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M05;86,234
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M04;86,264
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M03;85,430
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M02;85,290
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2009M01;85,281
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M12;86,345
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M11;86,790
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M10;87,160
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M09;86,861
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M08;86,879
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M07;87,066
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M06;87,486
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M05;86,985
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M04;86,402
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M03;85,482
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M02;84,730
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2008M01;84,598
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M12;85,125
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M11;84,770
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M10;84,167
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M09;83,090
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M08;82,818
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M07;82,704
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M06;83,311
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M05;83,158
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M04;82,930
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M03;81,800
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M02;81,184
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2007M01;81,129
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M12;81,678
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M11;81,455
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M10;81,254
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M09;80,922
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M08;81,055
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M07;80,890
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M06;81,374
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M05;81,251
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M04;80,959
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M03;79,833
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M02;79,272
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2006M01;79,234
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M12;79,557
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M11;79,386
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M10;79,266
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M09;78,627
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M08;78,147
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M07;77,805
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M06;78,284
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M05;78,102
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M04;77,953
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M03;76,846
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M02;76,243
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2005M01;76,046
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M12;76,692
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M11;76,767
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M10;76,575
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M09;75,796
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M08;75,661
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M07;75,328
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M06;75,904
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M05;75,784
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M04;75,340
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M03;74,322
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M02;73,807
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2004M01;73,773
